Purchased,Description,Cost,PK QTY,BOM QTY,Order QTY,PO QTY,RecQTY,Mfg/Matl,Vendor,Assy (temp),Notes,Out to Quote,Order Date,Req Date,Conf Date,PO #,Locations
001283,Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) and R911347141 (FWA-INDRV*-MPB-20VRS-D5-1-NNN-NN),1775.0736,1,15,15,15,15,BRC,AAP, , ,N/A,44881,44986,44986,54563,", 13x001.301, 2x002.313,"
001526,"Drive package consisting of: R911397897(BRC, HCS01.1E-W0005-A-03-B-ET-EC-EP-L4-N),  R911347141 (FWA-INDRV*-MPB-20VRS-D5-1-NNN-NN)",1527.3927,1,2,2,2,2,BRC,AAP, , ,N/A,44881,44986,44986,54563,", 2x001.302,"
8751,ELESA Wing Nut 8751 CTL.476/40 p-M8x16 ,16.35,1,4,4,4,4,ELESA,ELESA, , ,N/A,45162,45184,45184,55075,", 2x331.310, 2x631.310,"
022198,Dienes 022198 MALE/FEMALE ADAPTER,20.21,1,1,1,1,1,DIENES,DIENES, , ,45125,45149,45177,45156,55052,", 1x730.302,"
98635,STOBER BUSHING ADAPTER 9MM TO 11MM,25.4118,1,1,1,1,1,STOBER,AAP,,,45216,45216,45224,45224,55217,", 1x820.306"
201558,Dorner Conveyor L Bracket,154.8269,1,4,4,4,,DORNER,AAP, , ,N/A,45162,45184,45197,55073,", 4x811.301,"
206685,DORNER M6 TWIST-IN T-NUT,0,1,22,22,22,22,DORNER,AAP,,50 IN NULINE STOCK,N/A,N/A,N/A,N/A,N/A,", 4x332.312, 4x333.312, 4x334.307, 2x632.317, 4x633.317, 4x634.309,"
00221594,"XL, Hub, 2 Flanges, 9.5mm Maximum Width, 57mm OD, 12mm Shaft",23.22,1,5,5,5,5,Gates,MOTION, ,221594,45125,45147,45176,45176,55042,", 5x132.302,"
406421,ELESA LMR.60-AS-M12x60,11.44,1,0,0,4,4,ELESA,ELESA, , ,45083,45084,45103,45103,54922,","
406821,Elesa LMR-60-AS-M12x60,14.16,1,4,4,4,4,Elesa,Elesa, , ,N/A,45169,45184,45184,55121,", 4x180.308,"
406936,ELESA LMR.F-80-AS-M16x125,20.38,1,46,46,50,50,ELESA,ELESA, , ,45083,45084,45168,45168,"42x54922, 8x55056",", 26x111.301, 20x311.301,"
00584951,EMERSON ER16 Insert Bearing,36.88,1,6,6,6,6,EMERSON,MOTION, ,584951,45125,45147,45176,45176,55042,", 6x130.315,"
00585257,EMERSON ER24 Insert Bearing,99.48,1,6,6,14,14,EMERSON,MOTION, ,585257,45125,45147,45176,45176,55042,", 6x130.321,"
801733,"NS 35/ 7,5 PERF 2000MM - DIN rail perforated",,,5806,#DIV/0!,,,Phoenix Contact,CRAVE,,,,,,,,", 6x001.395, 1200x002.350, 675x003.326, 900x004.321, 900x005.332, 675x006.322, 725x007.323, 725x008.323,"
1029569,"End cover - D-PT 1,5/S-0,8 OG",,1,4,4,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x002.353, 1x004.323, 1x007.325, 1x008.325,"
1029591,"D-PT 1,5/S-QUATTRO-0,8 OG, END-COVER, OG",,1,23,23,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 10x001.367, 1x003.316, 3x004.333, 3x005.312, 3x007.307, 3x008.307,"
1043700,"MEMORY PLUG FOR FLEXISOFT FX3-CPU, FX3-MPL000001",,1,1,1,,,SICK,CRAVE,,,,,,,,", 1x001.386,"
1043784,"SAFETY PLC, FLEXISOFT, FX3-CPU130002, EFI CAPABLE",,1,1,1,,,SICK,CRAVE,,,,,,,,", 1x001.385,"
1044072,"GATEWAY, ETHERNET/IP, FLEXISOFT, FOR FX3-CPU, FX0-GENT00000",,1,1,1,,,SICK,CRAVE,,,,,,,,", 1x001.360,"
1044124,"SAFE DIGITAL INPUTS, FLEXISOFT, 8-CHANNEL, FX3-XIDI80002",,1,1,1,,,SICK,CRAVE,,,,,,,,", 1x001.387,"
1044125,"SAFE DIGITAL COMBI, FLEXISOFT, 8-CHANNEL IN, 4-CHANNEL OUT, FX3-XIIO84002",,1,1,1,,,SICK,CRAVE,,,,,,,,", 1x001.388,"
1059450,SICK Position Sensor on Actuated Dancer Roller,464,1,2,2,2,2,Sick,AAP, , ,N/A,45152,45187,45187,55054,", 2x216.302,"
1075896,VAL-US-277/80/3+0-FM - Type 1 surge protection device,,1,1,1,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x001.368,"
1085039,FL SWITCH 1005N - Industrial Ethernet Switch,,1,2,2,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 2x001.369,"
1085254,"1105N, 5-Port 10/100/1000Tx Port Industrial Ethernet Switch",,1,2,2,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x007.321, 1x008.321,"
1085343,"SAFETY RELAY, RLY3-OSSD1, 2 CHANNEL INPUTS W/EDM",,1,8,8,,,SICK,CRAVE,,,,,,,,", 1x001.389, 1x002.330, 1x003.325, 1x004.315, 1x005.317, 1x006.321, 1x007.312, 1x008.312,"
01200410,Tolomatic 0120-0410 Gearbox 12mm D Shaft,678.08,1,2,2,2,2,Tolomatic,Fiero, , ,N/A,45077,45133,45133,54911,", 2x250.307, 0x253.301,"
02043842,Gates 1610 40MM - 78581640 Taper-Lock Bushings,23.22,1,5,5,5,5,Gates,MOTION, ,2043842,45125,45147,45176,45176,55042,", 5x133.302,"
2066626,SICK BEF-KHZR085MPA Mounting Bracket for MPA Cylinder Sensor,6.8667,1,4,4,4,4,SICK,AAP,,,45202,45203,45238,45238,55182,", 4x216.315,"
2903155,TRIO-PS-2G/3AC/24DC/20 - Power supply unit,,1,3,3,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 2x001.370, 1x002.322,"
2909909,"ELECTRONIC CIRCUIT PROTECTOR, NEC CLASS 2, STATUS CONTACT, PTCB E1 24DC/1-3A NO",,1,1,1,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x001.371,"
3022276,CLIPFIX 35-5 - End clamp,,1,41,41,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 15x001.372, 8x002.323, 2x003.317, 4x004.334, 2x005.313, 2x006.327, 4x007.308, 4x008.308,"
3030161,Plug-in bridge - FBS 2-5,,1,3,3,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 2x001.393, 1x002.349,"
3030336,"FBS 2-6; PLUG-IN BRIDGE, 2-POSITION, 6.2MM PITCH, RED",,1,17,17,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 3x001.396, 3x002.351, 1x004.322, 4x005.323, 3x007.324, 3x008.324,"
3030513,"End cover - D-ST 2,5-QUATTRO-0,8 OG",,1,1,1,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x002.354,"
3030873,"RB ST 10-(2,5/4) - Reducing bridge",,1,6,6,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 6x001.373,"
3113771,"End cover for PT 1,5/S-3L, Gray, D-PT 1,5/S-3L",,1,1,1,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x001.374,"
3208126,"Feed-through terminal block - PT 1,5/S BU",,1,13,13,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 4x002.355, 1x004.324, 4x007.326, 4x008.326,"
3208208,"Four-conductor terminal block, PT 1,5/S-QUATTRO BU",,1,55,55,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 24x001.375, 4x003.321, 8x004.312, 3x005.314, 4x006.316, 6x007.310, 6x008.310,"
3208979,"D-PT 4-QUATTRO; END COVER, GY",,1,28,28,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 11x001.376, 3x002.324, 4x004.335, 4x005.315, 3x007.309, 3x008.309,"
3209581,"Feed-through terminal block - PT 2,5-QUATTRO BU",,1,5,5,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 3x001.377, 2x002.325,"
