,"Type","Date","Num","Name","Memo","Source Name","Account","Amount","Balance","Account Type"
"Parts",,,,,,,,,"",
"5245K12 (Retracting Air Hose Brass Male X Male, 18', 1/4"" ID, 170 PSI)",,,,,,,,,"",
,"Bill","11/08/2023","17316509","General Films:GF12 - 2-Up Bag Machine","Retracting Air Hose Brass Male X Male, 18', 1/4"" ID, 170 PSI","McMaster-Carr Supply Co.","65000 · Shop Supplies",49.47,49.47,"Expense"
"Total 5245K12 (Retracting Air Hose Brass Male X Male, 18', 1/4"" ID, 170 PSI)",,,,,,,,49.47,49.47,
"Total Parts",,,,,,,,49.47,49.47,
"No item",,,,,,,,,"",
,"Bill","02/14/2023","6203069","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",6160.00,6160.00,"Cost of Goods Sold"
,"Bill","02/14/2023","6203069","General Films:GF12 - 2-Up Bag Machine","Freight Credit","AAP Automation, Inc.","51200 · Freight-Machinery",-830.00,5330.00,"Cost of Goods Sold"
,"Bill","02/21/2023","54598","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",450.00,5780.00,"Cost of Goods Sold"
,"Bill","03/03/2023","6203600","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",879.85,6659.85,"Cost of Goods Sold"
,"Bill","04/25/2023","1717458.02","General Films:GF12 - 2-Up Bag Machine",,"Saginaw Control & Engineering","51200 · Freight-Machinery",648.39,7308.24,"Cost of Goods Sold"
,"Bill","06/15/2023","Credit Card","General Films:GF12 - 2-Up Bag Machine",,"Online Components","51200 · Freight-Machinery",8.99,7317.23,"Cost of Goods Sold"
,"Bill","06/22/2023","6209974","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",30.34,7347.57,"Cost of Goods Sold"
,"Bill","07/10/2023","6210921","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",48.37,7395.94,"Cost of Goods Sold"
,"Bill","07/25/2023","6211662","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",95.08,7491.02,"Cost of Goods Sold"
,"Bill","07/25/2023","6211605","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,7513.52,"Cost of Goods Sold"
