Type,Date,Deliv Date,Num,Source-Name,Job-Sales Number,Item,Qty,Rcvd,Cost-Price,Amount,Item-Description,Open-Balance,Other,QT1,QT2,AT
Purchase Order,11/11/22,12/9/22,54540,Quality Bearings and Components,,7616DLG (INSERT BEARING WITH SHIELDS),3,3,10,30,INSERT BEARING WITH SHIELDS,0,Samples for Greg,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,R911390100 (BRC MS2N07-E0BNN-BMVG2-NNNNN-NN Servo Motor),5,5,3673.3873,18366.94,BRC MS2N07-E0BNN-BMVG2-NNNNN-NN Servo Motor,0,,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,R911384572 (BRC MS2N06-D0BNN-CMSK2-NNNNN-NN Servo Motor),8,8,2414.9888,19319.91,BRC MS2N06-D0BNN-CMSK2-NNNNN-NN Servo Motor,0,,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,001283 (BRC Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) an...,8,8,1775.0736,14200.59,BRC Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) and R91134...,0,,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,R911383478 (BRC MS2N03-B0BYN-CMSH0-NNNNN-NN Servo Motor),1,1,1474.1541,1474.15,BRC MS2N03-B0BYN-CMSH0-NNNNN-NN Servo Motor,0,,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,001526 (BRC Drive package consisting of: R911397897 (HCS01.1E-W0005-A-03-B-ET-EC-EP-L4-NN-FW) an...,1,1,1527.3927,1527.39,BRC Drive package consisting of: R911397897 (HCS01.1E-W0005-A-03-B-ET-EC-EP-L4-NN-FW) and R91134...,0,,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,R911384424 (BRC MS2N03-B0BYN-CSSK0-NNNNN-NN Servo Motor),0,0,1324.3391,0,BRC MS2N03-B0BYN-CSSK0-NNNNN-NN Servo Motor,0,,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,001526 (BRC Drive package consisting of: R911397897 (HCS01.1E-W0005-A-03-B-ET-EC-EP-L4-NN-FW) an...,1,1,1527.3927,1527.39,BRC Drive package consisting of: R911397897 (HCS01.1E-W0005-A-03-B-ET-EC-EP-L4-NN-FW) and R91134...,0,,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,R911390100 (BRC MS2N07-E0BNN-BMVG2-NNNNN-NN Servo Motor),2,2,3673.3873,7346.77,BRC MS2N07-E0BNN-BMVG2-NNNNN-NN Servo Motor,0,,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,001283 (BRC Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) an...,2,2,1775.0736,3550.15,BRC Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) and R91134...,0,,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,001283 (BRC Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) an...,5,5,1775.0736,8875.37,BRC Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) and R91134...,0,,,,
Purchase Order,11/16/22,3/1/23,54563,"AAP Automation, Inc.",GF12,R911383478 (BRC MS2N03-B0BYN-CMSH0-NNNNN-NN Servo Motor),1,1,1474.1541,1474.15,BRC MS2N03-B0BYN-CMSH0-NNNNN-NN Servo Motor,0,,,,
Purchase Order,11/29/22,2/13/23,54598,"AAP Automation, Inc.",GF12,3842553611 (BRX STRUT PROFILE 45 X 45L (20 STICK BUNDLE) X 6070MM),1,1,2564.5666,2564.57,BRX STRUT PROFILE 45 X 45L (20 STICK BUNDLE) X 6070MM,0,,,,
Purchase Order,11/29/22,2/13/23,54598,"AAP Automation, Inc.",GF12,3842553612 (BRX STRUT PROFILE 45 X 90 (12 STICK BUNDLE) X 6070MM),1,1,3239.6382,3239.64,BRX STRUT PROFILE 45 X 90 (12 STICK BUNDLE) X 6070MM,0,,,,
Purchase Order,11/29/22,2/13/23,54598,"AAP Automation, Inc.",GF12,3842553613 (BRX STRUT PROFILE 90 X 90L (6 STICK BUNDLE) X 6070MM),9,9,2905.4002,26148.6,BRX STRUT PROFILE 90 X 90L (6 STICK BUNDLE) X 6070MM,0,,,,
Purchase Order,12/1/22,12/1/22,54604,"AAP Automation, Inc.",GF12,Contract Eng-Local Programming (Contracted Machine Programming-Onsite at NuLine's Facility),0,0,130,0,Contracted Machine Programming-Onsite at NuLine's Facility,0,,,,
Purchase Order,12/1/22,6/30/23,54603,CRAVE Technical,GF12,Contract Eng-Manual Writing (Contracted Technical Writing for Machine Manual Creation),30,0,120,3600,Contracted Technical Writing for Machine Manual Creation,3600,N/A,,,
Purchase Order,12/1/22,6/30/23,54603,CRAVE Technical,GF12,Contract Eng-ElectricalSch (Contracted Electrical Engineering for Creating Electrical Schematics),160,160,120,19200,Contracted Electrical Engineering for Creating Electrical Schematics,0,N/A,,,
Purchase Order,12/1/22,6/30/23,54603,CRAVE Technical,GF12,Contract Eng-PanelLayout (Contracted Electrical Engineering for Electrical Panel Layouts),85,85,120,10200,Contracted Electrical Engineering for Electrical Panel Layouts,0,N/A,,,
Purchase Order,12/1/22,6/30/23,54603,CRAVE Technical,GF12,"Contract Eng-PneuSch (Contracted Engineering for the Creation of CDA, PCW and or UPW Schematics)",11,0,120,1320,"Contracted Engineering for the Creation of CDA, PCW and or UPW Schematics",1320,N/A,,,
Purchase Order,12/1/22,6/30/23,54603,CRAVE Technical,GF12,Contract Eng-ProjMan (Contracted Engineering Project Management),22,0,120,2640,Contracted Engineering Project Management,2640,N/A,,,
Purchase Order,12/5/22,12/6/22,54610,McMaster-Carr Supply Co.,"EI19, EI22, GF12","6455K6 (Plastic Ball Bearing with 316 Stainless Steel Ball, Trade No. R16, for 1"" Shaft Diameter)",1,1,18.31,18.31,"Plastic Ball Bearing with 316 Stainless Steel Ball, Trade No. R16, for 1"" Shaft Diameter",0,,,,
Purchase Order,1/10/23,2/9/23,54676,Quality Bearings and Components,GF12,"7616DLG-OIL (INSERT BEARING WITH SHIELD, OIL LUBE ONLY, NO GREASE)",4,4,10,40,"INSERT BEARING WITH SHIELD, OIL LUBE ONLY, NO GREASE",0,Samples for Greg,,,
Purchase Order,1/24/23,8/31/23,54713,"AAP Automation, Inc.",GF12,Contract Eng-Local Programming (Contracted Machine Programming-Onsite at NuLine's Facility),190.16,190.16,120,22819.2,Contracted Machine Programming-Onsite at NuLine's Facility,0,,,,
Purchase Order,2/24/23,7/28/23,54758,"American Feeding Systems, Inc.",GF12,2301-136Rev.3 (Bowl Feeder Assembly per AFS Quote 2301-136Rev.3),1,1,39010,0,Bowl Feeder Assembly per AFS Quote 2301-136Rev.3,0,GF12.300,,,
