Job #,Assy,Item,Rev,Assembly,Description,Total Qty,Locations,Drawing?,HARDWARE FIXED IN MODEL ?,ALL PARTS CHECKED IN?, , , , 
GF12,000,00,A,GF12.000.00.A,2-Up Bag Machine,1, ,,,, , , , 
GF12,001,00,A,GF12.001.00.A,Main Controls Enclosure Assembly,1,", 1x100.0,",,,, , , , 
GF12,002,00,A,GF12.002.00.A,Unwind Controls Enclosure,1,", 1x200.0,",,,, , , , 
GF12,003,00,A,GF12.003.00.A,Spout I/O Enclosure,1,", 1x300.0,",,,, , , , 
GF12,004,00,A,GF12.004.00.A,Side Seal I/O Enclosure,1,", 1x400.0,",,,, , , , 
GF12,005,00,A,GF12.005.00.A,Cross Seal I/O Enclosure,1,", 1x500.0,",,,, , , , 
GF12,006,00,A,GF12.006.00.A,Cap I/O Enclosure,1,", 1x600.0,",,,, , , , 
GF12,007,00,A,GF12.007.00.A,Spout Bowl Enclosure,1,", 1x300.0,",,,, , , , 
GF12,008,00,A,GF12.008.00.A,Cap Bowl Enclosure,1,", 1x600.0,",,,, , , , 
GF12,009,00,A,GF12.009.00.A,HMI Enclosure,1,", 1x120.0,",,,, , , , 
GF12,100,00,A,GF12.100.00.A,Frame Assembly,1,"1x000.0,",EL 9/8/23,EL 9/8/23,, , , , 
GF12,110,00,A,GF12.110.00.A,Lower Main Frame Assembly,1,", 1x100.0,",EL 9/7/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,111,00,A,GF12.111.00.A,M8 Leveling Foot Assembly,26,", 16x110.0, 10x210.0,",EL 9/7/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,112,00,A,GF12.112.00.A,Extrusion Joining Assembly,10,", 4x110.0, 4x120.0, 2x800.0,",EL 9/7/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,113,00,A,GF12.113.00.A,".300, .600 Rail Assembly",4,", 4x110.0,",EL 8/29/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,114,00,A,GF12.114.00.A,.500 Upper Rail Assembly,2,", 2x110.0,",EL 8/29/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,115,00,A,GF12.115.00.A,.500 Lower Rail Assembly,2,", 2x110.0,",EL 8/29/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,116,00,A,GF12.116.00.A,Single Web Roller Assembly,14,", 3x110.0, 11x210.0,",EL 8/29/23,EL 9/7/23,EL 10/4/23, , , , 
