Bolt,Cost,Total Qty,Qty Rec,Mfg/Matl,Vendor,Notes,Out to Quote,Order Date,Req Date,Conf Date,PO #,Locations
6-32 X 0.25IN SBHCS,,20,,,,,,,,,,", 12x473.503, 4x514.503, 4x515.503,"
"HEX NUT, STYLE 1,  M3 X 0.5, CZ", ,18,,  ,Monroe Fasteners,  , , , , , ,", 8x342.514, 2x343.503, 2x344.503, 6x540.504,"
"HEX NUT, STYLE 1,  M4 X 0.7, SS", ,50,,  ,Monroe Fasteners,  , , , , , ,", 10x134.504, 8x217.504, 4x331.504, 8x342.504, 4x343.506, 4x344.506, 4x631.504, 4x650.510, 4x660.510,"
"HEX NUT, STYLE 1,  M5 X 0.8, ", ,4,,  ,Monroe Fasteners,  , , , , , ,", 4x213.505,"
"HEX NUT, STYLE 1,  M8 X 1.25, ", ,22,,  ,Monroe Fasteners,  , , , , , ,", 12x130.509, 2x160.504, 8x230.509,"
"HEX NUT, STYLE 1, M10 X 1.5, CZ", ,4,,  ,Monroe Fasteners,  , , , , , ,", 4x241.507,"
"HEX NUT, STYLE 1, M6 X 1.0", ,8,,  ,Monroe Fasteners,  , , , , , ,", 4x343.516, 4x344.516,"
"M10 X 1.5 X 20 HEX SHCS, ",,64,,,,,,,,,,", 48x411.503, 16x511.502,"
"M10 X 1.5 X 20 SOCKET FCHS,",,2,,,,,,,,,,", 2x342.515,"
"M10 X 1.5 X 25 HEX SHCS, ", ,32,,  ,Monroe Fasteners,  , , , , , ,", 12x412.505, 12x422.505, 4x512.505, 4x522.505,"
"M10 X 1.5 X 30 HEX SHCS, ", ,64,,  ,Monroe Fasteners,  , , , , , ,", 4x123.503, 20x133.502, 40x220.502,"
"M10 X 1.5 X 35 HEX SHCS, ", ,20,,  ,Monroe Fasteners,  , , , , , ,", 20x133.503,"
"M10 X 1.5 X 45 HEX SHCS, ", ,46,,  ,Monroe Fasteners,  , , , , , ,", 12x130.506, 2x212.502, 8x220.503, 8x230.506, 6x412.506, 6x422.506, 2x512.506, 2x522.506,"
"M10 X 1.5 X 55 HEX SHCS, ", ,23,,  ,Monroe Fasteners,  , , , , , ,", 12x130.507, 8x230.507, 3x470.504,"
"M10 X 1.5 X 65 HEX SHCS, ", ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M10 X 1.5 X 70 HEX SHCS, ",,40,,,,,,,,,,", 24x130.508, 16x230.508,"
"M10 X 1.5 X 80 SOCKET FCHS,", ,2,,  ,Monroe Fasteners,  , , , , , ,", 1x343.523, 1x344.523,"
M12 X 1.75 X 150 HEX SHCS,,16,,,,,,,,,,", 16x220.507,"
M12 X 1.75 X 25 SBHCS, ,48,,  ,Monroe Fasteners,  , , , , , ,", 48x411.504,"
"M12 X 1.75 X 30 HEX SHCS, ", ,96,,  ,Monroe Fasteners,  , , , , , ,", 16x220.504, 80x311.501,"
"M12 X 1.75 X 30 SBHCS,", ,16,,  ,Monroe Fasteners,  , , , , , ,", 16x511.504,"
"M12 X 1.75 X 35 HEX SHCS, ", ,12,,  ,Monroe Fasteners,  , , , , , ,", 12x220.505,"
"M12 X 1.75 X 35 SOCKET FCHS,", ,48,,  ,Monroe Fasteners,  , , , , , ,", 32x511.501, 16x710.506,"
"M12 X 1.75 X 40 HEX SHCS, ", ,48,,  ,Monroe Fasteners,  , , , , , ,", 16x220.506, 12x412.507, 12x422.507, 4x512.507, 4x522.507,"
"M12 X 1.75 X 40 SBHCS,", ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M12 X 1.75 X 40 SOCKET FCHS, ", ,4,,  ,Monroe Fasteners,  , , , , , ,", 4x140.501,"
"M12 X 1.75 X 45 SOCKET FCHS, ", ,66,,  ,Monroe Fasteners,  , , , , , ,", 4x330.501, 16x510.501, 16x520.501, 6x530.503, 4x630.501, 20x640.510,"
"M12 X 1.75 X 50 HEX SHCS,", ,8,,  ,Monroe Fasteners,  , , , , , ,", 4x330.502, 4x630.502,"
"M12 X 1.75 X 50 SOCKET FCHS, ", ,8,,  ,Monroe Fasteners,  , , , , , ,", 8x341.507,"
M12 X 1.75 X 60 HEX SHCS, ,16,,  ,Monroe Fasteners,  , , , , , ,", 16x414.502,"
"M3 X 0.5 X 8 HEX SHCS, ",,12,,,,,,,,,,", 4x244.501, 4x655.501, 4x665.501,"
"M3 X 0.5 X 10 HEX SHCS, ", ,4,,  ,Monroe Fasteners,  , , , , , ,", 2x331.501, 2x631.501,"
"M3 X 0.5 X 12 HEX SHCS,", ,4,,  ,Monroe Fasteners,  , , , , , ,", 2x650.501, 2x660.501,"
"M3 X 0.5 X 12 SBHCS, ", ,20,,  ,Monroe Fasteners,  , , , , , ,", 8x342.513, 2x343.502, 2x344.502, 4x632.501, 4x633.501,"
"M3 X 0.5 X 16 HEX SHCS, ", ,20,,  ,Monroe Fasteners,  , , , , , ,", 8x342.501, 4x651.501, 4x652.501, 2x654.504, 2x664.504,"
"M3 X 0.5 X 30 SBHCS,  ", ,6,,  ,Monroe Fasteners,  , , , , , ,", 6x218.501,"
"M3 X 0.5 X 6 SBHCS, ", ,8,,  ,Monroe Fasteners,  , , , , , ,", 4x343.501, 4x344.501,"
M3 X 0.5 X 6 SOCKET FCHS, ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M3 X 0.5 X 8 Hex SHCH,", ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M3 X 0.5 X 8 SBHCS,", ,8,,  ,Monroe Fasteners,  , , , , , ,", 4x332.505, 4x333.505,"
"M3 X 0.5 X 8 SOCKET FCHS, ", ,28,,  ,Monroe Fasteners,  , , , , , ,", 8x331.502, 4x332.504, 4x333.504, 8x631.502, 2x710.501, 2x730.503,"
"M4 X 0.7 X 10 HEX SHCS, ", ,4,,  ,Monroe Fasteners,  , , , , , ,", 4x223.501,"
"M4 X 0.7 X 10 SBHCS,", ,16,,  ,Monroe Fasteners,  , , , , , ,", 8x342.502, 4x343.504, 4x344.504,"
"M4 X 0.7 X 12 HEX SHCS, ", ,160,,  ,Monroe Fasteners,  , , , , , ,", 4x217.501, 4x218.502, 12x243.502, 12x244.502, 32x342.503, 96x415.502,"
"M4 X 0.7 X 12 SBHCS,", ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M4 X 0.7 X 12 SOCKET FCHS, ", ,42,,  ,Monroe Fasteners,  , , , , , ,", 2x140.509, 8x243.501, 16x260.501, 16x270.501,"
M4 x 0.7 x 8 SOCKET SET SCREW,,12,,,,in NuLine stock,,,,,,", 12x540.505,"
"M4 X 0.7 X 16 HEX SHCS, ", ,221,,  ,Monroe Fasteners,  , , , , , ,", 40x134.507, 4x140.504, 4x218.503, 40x341.508, 3x343.505, 3x344.505, 96x472.502, 10x650.502, 3x655.502, 10x660.502, 0x665.502, 4x720.503, 4x750.501,"
"M4 X 0.7 X 16 SBHCS, ", ,56,,  ,Monroe Fasteners,  , , , , , ,", 28x121.502, 20x134.501, 4x243.503, 4x244.503,"
M4 X 0.7 X 16 SOCKET FCHS, ,80,,  ,Monroe Fasteners,  , , , , , ,", 16x124.501, 16x125.501, 16x126.501, 16x127.501, 16x128.501,"
"M4 X 0.7 X 20 HEX SHCS, ", ,194,,  ,Monroe Fasteners,  , , , , , ,", 60x113.501, 14x114.501, 14x115.501, 44x241.501, 24x250.501, 12x345.503, 18x471.501, 8x730.504,"
M4 X 0.7 X 20 SBHCS, ,0,,  ,Monroe Fasteners,  , , , , , ,","
M4 X 0.7 X 20 SOCKET FCHS, ,28,,  ,Monroe Fasteners,  , , , , , ,", 28x121.501,"
"M4 X 0.7 X 25 HEX SHCS, ", ,56,,  ,Monroe Fasteners,  , , , , , ,", 2x141.501, 4x242.501, 8x252.501, 2x253.501, 8x346.501, 12x650.503, 8x656.501, 12x660.503,"
"M4 X 0.7 X 30 SBHCS,",,4,,,,,,,,,,", 4x230.511,"
"M4 X 0.7 X 30 SOCKET FCHS, ", ,4,,  ,Monroe Fasteners,  , , , , , ,", 4x243.504,"
"M4 X 0.7 X 35 Hex SHCS,", ,32,,  ,Monroe Fasteners,  , , , , , ,", 8x341.501, 16x530.504, 8x640.501,"
