Length,Extrusion,Description,Total Qty,Qty Cut,Cost,Mfg/Matl,Vendor,Notes,Out to Quote,Order Date,Req Date,Conf Date,PO #,Material Cost,Coating Cost,Misc Cost,Labor Hours,M/Stick,$/stick,$/mm,Locations,READY TO CUT?, 
1273.4,"45X45 D17|D17, 1273.4MM",Assy. 341,1,1,43.46431954,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,27.21431954,0,0,0.25,6,128.2283,0.021371383,", 1x341.708,", , 
1075,"45x45 D17ID17,1075MM",Doors,12,12,39.22423708,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,22.97423708,0,0,0.25,6,128.2283,0.021371383,", 2x125.701, 4x126.701, 2x128.701, 4x260.701,",YES, 
1192,"45x45 D17ID17,1192MM",Doors,16,16,41.72468893,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,25.47468893,0,0,0.25,6,128.2283,0.021371383,", 4x124.704, 2x125.702, 4x126.702, 4x127.702, 2x128.702,",YES, 
120,"45x45 D17ID17,120.0MM",Assy .180,2,2,18.814566,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,2.564566,0,0,0.25,6,128.2283,0.021371383,", 2x180.704,",YES, 
1453,"45x45 D17ID17,1453.0MM",Assy .180,4,4,47.30261998,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,31.05261998,0,0,0.25,6,128.2283,0.021371383,", 4x180.702,",YES, 
1679,"45x45 D17ID17,1679.0MM",Assy 120,5,5,52.13255262,BOSCH,NULINE,,N/A,44894,44970,44970,54598,35.88255262,0,0,0.25,6,128.2283,0.021371383,", 1x120.713, 4x210.712,",YES, 
513.2,"45x45 D17ID17,513.2MM",Assy .180,7,7,27.21779393,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,10.96779393,0,0,0.25,6,128.2283,0.021371383,", 7x180.701,",YES, 
924,"45x45 D17ID17,924MM",Doors,8,8,35.9971582,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,19.7471582,0,0,0.25,6,128.2283,0.021371383,", 4x124.701, 4x127.701,",YES, 
936,"45x45 D17ID17,936.0MM",Assy .180,2,2,36.2536148,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,20.0036148,0,0,0.25,6,128.2283,0.021371383,", 2x180.703,",YES, 
606,"45x45 -I- ,606MM",Doors,4,4,29.2010583,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,12.9510583,0,0,0.25,6,128.2283,0.021371383,", 4x128.703,",YES, 
746,"45x45 -I- ,746MM",Doors,4,4,32.19305197,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,15.94305197,0,0,0.25,6,128.2283,0.021371383,", 4x260.702,",YES, 
792,"45x45 -I- ,792MM",Doors,4,4,33.1761356,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,16.9261356,0,0,0.25,6,128.2283,0.021371383,", 4x125.703,",YES, 
1076,"45x45 -I-,1076MM",Doors,4,4,39.24560847,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,22.99560847,0,0,0.25,6,128.2283,0.021371383,", 4x124.702,",YES, 
1121,"45x45 -I-,1121MM",Doors,4,4,40.20732072,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,23.95732072,0,0,0.25,6,128.2283,0.021371383,", 4x124.703,",YES, 
390,"45x45 -I-,390MM",Doors,4,4,24.5848395,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,8.3348395,0,0,0.25,6,128.2283,0.021371383,", 4x270.701,",YES, 
585,"45x45 -I-,585MM",Doors,4,4,28.75225925,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,12.50225925,0,0,0.25,6,128.2283,0.021371383,", 4x126.703,",YES, 
630,"45x45 -I-,630MM",Doors,4,4,29.7139715,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,13.4639715,0,0,0.25,6,128.2283,0.021371383,", 4x126.704,",YES, 
835,"45x45 -I-,835MM",Doors,4,4,34.09510508,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,17.84510508,0,0,0.25,6,128.2283,0.021371383,", 4x127.703,",YES, 
880,"45x45 -I-,880MM",Doors,4,4,35.05681733,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,18.80681733,0,0,0.25,6,128.2283,0.021371383,", 4x127.704,",YES, 
1453,45x45 -I- 1453.0MM,Assy .341,1,1,47.30261998,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,31.05261998,0,0,0.25,6,128.2283,0.021371383,", 1x341.709,",YES,
108,45x45 D17|- 108.0MM,Assy .120,2,,18.5581094,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,2.3081094,0,0,0.25,6,128.2283,0.021371383,", 2x120.715,",YES,
1680,"45X45, D17|D17, 1680MM",Assy .218,2,2,52.153924,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,35.903924,0,0,0.25,6,128.2283,0.021371383,", 2x218.701,",YES, 
1730,"45X45, D17|D17, 1730MM",Assy .120,1,1,53.22249317,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,36.97249317,0,0,0.25,6,128.2283,0.021371383,", 1x120.701,",YES, 
1752.06,"45X45, D17|D17, 1752.06MM",Assy .110,1,1,53.69394588,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,37.44394588,0,0,0.25,6,128.2283,0.021371383,", 1x110.705,",YES, 
2018,"45X45, D17|D17, 2018MM",Assy .120,2,4,59.37745157,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,43.12745157,0,0,0.25,6,128.2283,0.021371383,", 2x270.702,",YES, 
1853,"45X45, D17|D17, 1853MM",Assy .120,2,4,55.85117332,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,39.60117332,0,0,0.25,6,128.2283,0.021371383,", 2x270.703,",YES,
2212.06,"45X45, D17|D17, 2212.06MM",Assy .120,2,2,63.52478222,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,47.27478222,0,0,0.25,6,128.2283,0.021371383,", 2x120.703,",YES, 
891,"45X45, M12|-, 891.0MM",Assy .180,2,2,35.29190255,BOSCH,NULINE,,N/A,44894,44970,44970,54598,19.04190255,0,0,0.25,6,128.2283,0.021371383,", 2x180.705,",YES, 
1539.5,"45X45, M12|M12, 1539.5MM",Assy .530,1,1,49.15124464,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,32.90124464,0,0,0.25,6,128.2283,0.021371383,", 1x530.701,",YES, 
290,"45X45, M12|-, 290.0MM",Assy .180,4,4,22.44770117,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,6.197701167,0,0,0.25,6,128.2283,0.021371383,", 4x180.706,",YES,
130,"45X90 D17|D17, 130MM",Assy .330,6,6,22.0993435,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,5.8493435,0,0,0.25,6,269.9697,0.04499495,", 3x330.703, 3x630.703,",YES, 
80,"45X90 D17|D17, 80.0MM",Assy .341,2,2,19.849596,BOSCH,NULINE,,N/A,44894,44970,44970,54598,3.599596,0,0,0.25,6,269.9697,0.04499495,", 2x341.707,",YES,
1094.85,"45X90 M12|-, 1094.85MM",Assy .330,2,2,65.51272101,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,49.26272101,0,0,0.25,6,269.9697,0.04499495,", 2x330.702,",YES, 
414.5,"45X90 M12|D17, 414.5MM",Assy .330,2,2,34.90040678,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,18.65040678,0,0,0.25,6,269.9697,0.04499495,", 2x330.701,",YES, 
1679,"45X90, -|-, 1679MM",Assy .210,2,2,91.79652105,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,75.54652105,0,0,0.25,6,269.9697,0.04499495,", 2x241.701,",YES, 
