Type,Date,Num,Source-Name,Part-Num,Item-Description,Location,Unit-Qty,Unit-Price,Cost,Cat1
Purchase Order,2022-11-16,54563.0,"AAP Automation, Inc.",001283,BRC Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) and R91134...,,8.0,1775.07,14200.56,
Purchase Order,2022-11-16,54563.0,"AAP Automation, Inc.",001283,BRC Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) and R91134...,,2.0,1775.07,3550.14,
Purchase Order,2022-11-16,54563.0,"AAP Automation, Inc.",001283,BRC Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) and R91134...,,5.0,1775.07,8875.35,
Purchase Order,2022-11-16,54563.0,"AAP Automation, Inc.",001526,BRC Drive package consisting of: R911397897 (HCS01.1E-W0005-A-03-B-ET-EC-EP-L4-NN-FW) and R91134...,,1.0,1527.39,1527.39,
Purchase Order,2022-11-16,54563.0,"AAP Automation, Inc.",001526,BRC Drive package consisting of: R911397897 (HCS01.1E-W0005-A-03-B-ET-EC-EP-L4-NN-FW) and R91134...,,1.0,1527.39,1527.39,
Purchase Order,2023-08-09,55042.0,Motion Industries,00221594,1610 1-1/2 BUSHING,,5.0,23.22,116.1,
Purchase Order,2023-08-09,55042.0,Motion Industries,00584951,Emerson Set Screw Bearing ER-16 BRG,,6.0,36.88,221.28000000000003,
Purchase Order,2023-08-09,55042.0,Motion Industries,00585257,ER24K BRG & COL ER24K,,14.0,99.48,1392.72,
<Stock>,,,,0120-0410,Tolomatic 0120-0410 Gearbox 12mm D Shaft,250.307,2.0,0.0,0.0,Unwind/Punch Station
<Stock>,,,,0120-0410,Tolomatic 0120-0410 Gearbox 12mm D Shaft,253.301,0.0,0.0,0.0,Unwind/Punch Station
Purchase Order,2023-05-31,54911.0,Fiero Automation,01200410,Tolomatic 12mm 1:1 Right Angle Gearbox,,2.0,339.04,678.08,
Purchase Order,2023-08-11,55052.0,Dienes Corp.,02023-01,"CRUSH/SCORE CUT HOLDER PQAS 1/2""",730.301,1.0,177.61,177.61,Delivery/Cutoff Station
Purchase Order,2023-08-09,55042.0,Motion Industries,02043842,1610 40MM BUSHING,,5.0,23.22,116.1,
Purchase Order,2023-08-11,55052.0,Dienes Corp.,022198,FITTING ADAPTOR,,1.0,20.21,20.21,
Purchase Order,2023-08-09,55042.0,Motion Industries,03220129,P35-8MGT-30-1610 TL SPKT,,14.0,110.48,1546.72,
Purchase Order,2023-08-23,55076.0,Igus Inc.,06-16-038-0,"IGUS  Series 09 Energy Chain, 1"" Wide",,1.0,44.32,44.32,
<Stock>,,,,06-16-038-0 (4.72'),"IGUS  Series 09 Energy Chain, 1"" Wide",710.304,1.0,0.0,0.0,Delivery/Cutoff Station
Purchase Order,2023-10-03,55184.0,Igus Inc.,060-16-12-A2,BRACKET SET,,1.0,4.91,4.91,
<Stock>,,,,060‐16‐12‐A2,"Mounting bracket, full set, Plastic, one-piece, locking, without tiewrap plates	",710.305,1.0,0.0,0.0,Delivery/Cutoff Station
Purchase Order,2023-08-09,55042.0,Motion Industries,09165546,640-8MGT-30 POWERGRIP GT4 BELTS - 8M,,5.0,48.31,241.55,
Purchase Order,2023-11-29,55317.0,"Kamei's Dies, Inc.",1-Up Die for GF12.243.13.B,Die for GF12.243.13.B,,1.0,120.0,120.0,
Purchase Order,2023-11-29,55317.0,"Kamei's Dies, Inc.",1-Up Die for GF12.342.09.A,Die for GF12.342.09.A,,1.0,130.0,130.0,
Purchase Order,2023-11-29,55317.0,"Kamei's Dies, Inc.",1-Up Die for GF12.343.06.B,Die for GF12.343.06.B,,1.0,120.0,120.0,
Purchase Order,2023-11-29,55317.0,"Kamei's Dies, Inc.",1-Up Die for GF12.740.03.B,DIe for GF12.740.03.B,,1.0,70.0,70.0,
Purchase Order,2023-08-23,55079.0,Motion Industries,100XL037,XL Series Timing Belt Trade No. 100xL037,241.306,2.0,4.83,9.66,Unwind/Punch Station
Purchase Order,2023-11-08,55280.0,McMaster-Carr Supply Co.,1023N13,"Straight-Flow Rectangular Manifold, Anodized Aluminum, Standard, 4 Outlets, 1/4 NPT x 1/8 NPT",214.301,2.0,26.82,53.64,Unwind/Punch Station
Purchase Order,2023-11-08,55280.0,McMaster-Carr Supply Co.,1023N17,"Straight-Flow Rectangular Manifold, Anodized Aluminum, Standard, 4 Outlets, 3/8 NPT x 1/4 NPT",118.301,1.0,28.67,28.67,Main Frame
Purchase Order,2023-11-08,55280.0,McMaster-Carr Supply Co.,1023N17,"Straight-Flow Rectangular Manifold, Anodized Aluminum, Standard, 4 Outlets, 3/8 NPT x 1/4 NPT",119.301,1.0,28.67,28.67,Main Frame
Purchase Order,2023-11-08,55280.0,McMaster-Carr Supply Co.,1023N249,"Straight-Flow Rectangular Manifold, Anodized Aluminum, Extra Wd, 2 Outlets, 3/8 NPT x 1/4 NPT",219.301,3.0,26.91,80.73,Unwind/Punch Station
Purchase Order,2023-11-08,55280.0,McMaster-Carr Supply Co.,1023N249,"Straight-Flow Rectangular Manifold, Anodized Aluminum, Extra Wd, 2 Outlets, 3/8 NPT x 1/4 NPT",<Extra>,1.0,26.91,26.91,
<Stock>,,,,1029569,"End cover - D-PT 1,5/S-0,8 OG",002.353,1.0,0.0,0.0,Unwind/Punch Station
<Stock>,,,,1029569,"End cover - D-PT 1,5/S-0,8 OG",004.323,1.0,0.0,0.0,Side Seal Station
<Stock>,,,,1029569,"End cover - D-PT 1,5/S-0,8 OG",007.325,1.0,0.0,0.0,Spout Station
<Stock>,,,,1029569,"End cover - D-PT 1,5/S-0,8 OG",008.325,1.0,0.0,0.0,Cap Station
<Stock>,,,,1029591,"D-PT 1,5/S-QUATTRO-0,8 OG, END-COVER, OG",001.367,10.0,0.0,0.0,Main Controls
<Stock>,,,,1029591,"D-PT 1,5/S-QUATTRO-0,8 OG, END-COVER, OG",003.316,1.0,0.0,0.0,Spout Station
<Stock>,,,,1029591,"D-PT 1,5/S-QUATTRO-0,8 OG, END-COVER, OG",004.333,3.0,0.0,0.0,Side Seal Station
<Stock>,,,,1029591,"D-PT 1,5/S-QUATTRO-0,8 OG, END-COVER, OG",005.312,3.0,0.0,0.0,Cross Seal Station
